id,name,symbol,num_market_pairs,infinite_supply,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,quote_last_updated
1,Bitcoin,BTC,11671,False,1,2024-09-05T05:21:00.000Z,57196.25562916531,31706940051.04022,2.1471,-0.01460436,1.23484653,-3.59305324,3.15998496,-0.87962623,-19.76733686,1129615124191.1897,56.42,1201121368212.47,2024-09-05T05:21:00.000Z
1027,Ethereum,ETH,9263,True,2,2024-09-05T05:20:00.000Z,2408.448374823623,14083401652.078005,-3.2577,-0.21253524,1.38881647,-4.97801147,-3.66266099,-20.54890292,-36.8714292,289772765625.9695,14.4754,289772765625.97,2024-09-05T05:20:00.000Z
825,Tether USDt,USDT,96347,True,3,2024-09-05T05:19:00.000Z,0.9999850879880364,50642142363.58284,-0.1691,-0.0097498,0.01623412,-0.0118644,-0.04713598,-0.00387375,0.01591768,118153007322.05032,5.9013,120239100149.88,2024-09-05T05:19:00.000Z
1839,BNB,BNB,2222,False,4,2024-09-05T05:19:00.000Z,504.3996115207042,1758688967.8525722,6.0469,-0.12309315,-1.43370576,-6.70018927,4.57987847,-1.32779412,-28.60269718,73609401972.98698,3.6805,73609401972.99,2024-09-05T05:19:00.000Z
5426,Solana,SOL,725,True,5,2024-09-05T05:19:00.000Z,132.6706455860694,2191156959.215999,0.5898,0.3051534,4.20834422,-7.73557068,-5.5545014,-5.04541315,-22.76714027,61937286954.90511,3.0935,77456532085.32,2024-09-05T05:19:00.000Z
3408,USDC,USDC,21849,False,6,2024-09-05T05:19:00.000Z,0.9999833668068971,5791226240.181164,1.4741,-0.00412782,-0.00341545,0.01173966,0.01477041,0.00217014,-0.00149657,34900097427.58673,1.7434,34900097427.59,2024-09-05T05:19:00.000Z
52,XRP,XRP,1374,False,7,2024-09-05T05:20:00.000Z,0.5529945195845591,898527158.2583505,-11.8526,-0.1211602,0.06196333,-3.39774604,8.61349918,25.24631433,5.23539256,31106805043.979603,1.5537,55299451958.46,2024-09-05T05:20:00.000Z
74,Dogecoin,DOGE,1053,True,8,2024-09-05T05:20:00.000Z,0.0968701186689433,470595733.0709103,-3.8364,0.21769245,1.18812557,-3.68766037,-1.83814248,-12.4022396,-40.13815677,14126174793.79812,0.7063,14126174793.8,2024-09-05T05:20:00.000Z
1958,TRON,TRX,1022,True,9,2024-09-05T05:19:00.000Z,0.1495354345290257,326199767.909609,-26.304,0.10614542,-1.4227776,-6.05891616,22.28461905,15.28205209,31.17954956,12971843835.076044,0.6479,12971845308.0,2024-09-05T05:19:00.000Z
11419,Toncoin,TON,544,True,10,2024-09-05T05:19:00.000Z,4.565515954968571,314646512.2239333,-9.441,-0.22301603,-5.00598983,-17.76508524,-16.4851399,-39.08019862,-40.22578279,11574112150.973305,0.5784,23336336244.92,2024-09-05T05:19:00.000Z
2010,Cardano,ADA,1240,False,11,2024-09-05T05:19:00.000Z,0.3215054472235975,261980120.12758556,-9.3066,0.19125831,1.95161049,-9.37292577,-1.87019043,-12.46238431,-30.58445895,11561542624.344736,0.5782,14467745125.06,2024-09-05T05:19:00.000Z
5805,Avalanche,AVAX,771,False,12,2024-09-05T05:19:00.000Z,21.857160241107085,185842219.49074563,-8.7602,0.31817829,2.18169966,-7.23038261,5.91600969,-18.10631276,-39.26792464,8856174656.843407,0.4423,15644234443.55,2024-09-05T05:19:00.000Z
5994,Shiba Inu,SHIB,864,False,13,2024-09-05T05:19:00.000Z,1.3401423074663675e-05,159936409.3411249,-9.361,0.0924273,2.4407191,-4.14127564,-2.5607073,-19.2206954,-47.2427039,7897054456.78566,0.3944,7900389830.04,2024-09-05T05:19:00.000Z
1975,Chainlink,LINK,1836,False,14,2024-09-05T05:19:00.000Z,10.210322376549406,197758822.1585698,-6.6561,-0.03951726,-0.5773414,-8.80593644,1.79682551,-20.95445578,-41.63860652,6208896735.493121,0.3104,10210322376.55,2024-09-05T05:19:00.000Z
1831,Bitcoin Cash,BCH,917,False,15,2024-09-05T05:19:00.000Z,308.9452946974198,155500366.46813422,-27.978,-0.28168861,-0.33859505,-4.66632696,-3.54808753,-7.40152508,-40.30750189,6103662267.424839,0.3052,6487851188.65,2024-09-05T05:19:00.000Z
6636,Polkadot,DOT,806,True,16,2024-09-05T05:20:00.000Z,4.031634878305688,115151585.80219442,-14.1301,0.02007674,-0.21791561,-5.78276214,-7.8132807,-35.4685014,-43.83184063,6005501266.248748,0.3,6005501266.25,2024-09-05T05:20:00.000Z
3957,UNUS SED LEO,LEO,48,False,17,2024-09-05T05:19:00.000Z,5.846565782768561,8427699.74554255,263.4585,-0.48392032,0.14230666,0.10283736,2.64850397,0.70423987,-2.52008472,5411352874.313922,0.2703,5760267571.92,2024-09-05T05:19:00.000Z
4943,Dai,DAI,3372,True,18,2024-09-05T05:19:00.000Z,0.9999146215618424,101956676.34913096,30.0591,-0.00653574,-0.00260132,-0.0175579,-0.01270403,0.00348604,-0.00741513,5364924614.6696005,0.268,5364924614.67,2024-09-05T05:19:00.000Z
2,Litecoin,LTC,1226,False,19,2024-09-05T05:21:00.000Z,65.06383861937708,298140791.86501336,6.314,-0.28036068,-0.82956235,5.03452012,12.3967722,0.69652937,-23.23093824,4875844611.858336,0.2437,5465362444.03,2024-09-05T05:21:00.000Z
6535,NEAR Protocol,NEAR,443,False,20,2024-09-05T05:20:00.000Z,3.82563490943965,167837514.12899736,-22.1999,-0.17133036,3.27790738,-11.95139734,3.16520053,-18.97269359,-48.1832609,4292806497.8248286,0.2144,4624430558.17,2024-09-05T05:20:00.000Z
