timestamp,open,high,low,close,volume
2024-08-04,5.5697,5.6338,5.1123,5.3376,104869.8317
2024-08-05,5.3432,5.3818,4.3125,4.9815,325516.0395
2024-08-06,4.9787,5.3077,4.9717,5.1313,116351.5743
2024-08-07,5.129,5.3286,4.9389,5.0734,150693.8248
2024-08-08,5.0822,5.765,4.987,5.7635,107612.2247
2024-08-09,5.7676,5.8917,5.6294,5.7469,95731.5058
2024-08-10,5.743,6.3801,5.6851,6.2673,116235.72102806
2024-08-11,6.2683,6.2873,5.628,5.7265,82127.3876121
2024-08-12,5.7253,6.8447,5.7225,6.441,233135.7114
2024-08-13,6.4381,6.934,6.1511,6.7961,136282.5701
2024-08-14,6.7994,6.9664,6.5806,6.6898,96476.0168
2024-08-15,6.7055,6.7549,6.0959,6.231,151920.976
2024-08-16,6.2327,6.5073,5.7829,5.9153,176733.9084
2024-08-17,5.9145,5.9711,5.791,5.8211,108677.5382
2024-08-18,5.8209,5.9845,5.7703,5.7794,135375.627
2024-08-19,5.7816,6.0659,5.7276,6.0417,281593.262
2024-08-20,6.0448,6.4551,5.9558,6.0624,143373.4728
2024-08-21,6.0555,6.371,6.0112,6.3535,133363.6863
2024-08-22,6.357,6.5104,6.24,6.4991,88273.3144
2024-08-23,6.5044,7.21,6.4907,7.0881,168893.4499
2024-08-24,7.0981,7.69,7.0416,7.1513,133643.0827
2024-08-25,7.1575,7.4709,6.8195,7.342,138187.1571
2024-08-26,7.3393,7.38,6.9486,7.0103,97059.7447
2024-08-27,7.0268,7.5697,6.71,6.8368,331172.5549
2024-08-28,6.8334,7.421,6.4951,6.7353,317433.9994
2024-08-29,6.7381,7.275,6.594,6.7889,193657.8636
2024-08-30,6.7928,7.0308,6.3663,6.7159,274458.6547
2024-08-31,6.7106,6.7951,6.3818,6.4872,134077.21839143
2024-09-01,6.4849,6.5105,6.0957,6.1767,192687.5177
2024-09-02,6.162,6.4589,6.1124,6.3583,193392.7901
2024-09-03,6.355,6.4801,6.055,6.1326,182639.6717
2024-09-04,6.128,6.3283,5.8187,6.1224,141135.9163
2024-09-05,6.1197,6.139,5.6779,5.7692,128322.3139
2024-09-06,5.7813,5.9132,5.4835,5.7049,179482.2732
2024-09-07,5.7013,5.9634,5.6993,5.8546,59462.0883
2024-09-08,5.8423,6.1087,5.8002,6.0325,120272.7112
2024-09-09,6.0348,6.4235,6.017,6.2827,61752.2947
2024-09-10,6.2992,6.3375,6.1185,6.276,72660.2662
2024-09-11,6.2822,6.3019,5.9587,6.0881,92877.8244
2024-09-12,6.0853,6.2324,6.0443,6.1804,76509.6506
2024-09-13,6.1821,6.3434,6.092,6.3052,50625.67836
2024-09-14,6.3072,6.3561,5.9872,6.062,52952.7441
2024-09-15,6.0614,6.1676,5.82,5.8815,63518.0822
2024-09-16,5.8665,5.875,5.6595,5.7521,94548.3554
2024-09-17,5.7387,6.0089,5.6902,5.9366,95472.1463
2024-09-18,5.9124,6.2266,5.7022,6.2256,127941.3669
2024-09-19,6.228,6.9758,6.228,6.8104,298116.92327303
2024-09-20,6.8188,7.4506,6.7106,7.311,304625.7266
2024-09-21,7.306,8.38,7.1882,8.2493,401875.75365085
2024-09-22,8.2398,8.2423,7.75,7.966,212693.35237451
2024-09-23,7.9672,8.1179,7.661,7.9532,323001.4881
2024-09-24,7.951,8.3836,7.6876,8.1529,392658.3645
2024-09-25,8.1563,8.4782,7.9322,8.0141,309384.9015
2024-09-26,8.0168,8.6408,7.8638,8.0548,406480.50019026
2024-09-27,8.0654,8.5849,8.0359,8.4995,276388.0154
2024-09-28,8.5149,8.5479,7.9256,8.0672,224646.4211
2024-09-29,8.0641,8.2919,7.75,8.0759,230486.3313
2024-09-30,8.0768,8.1157,7.5702,7.6679,255256.45464301
2024-10-01,7.6631,8.37,7.2409,7.5474,871886.9092244
2024-10-02,7.5492,7.9784,7.4753,7.6973,277270.9262
