timestamp,open,high,low,close,volume
2024-07-24,29.82,30.55,28.26,28.38,2813233.19
2024-07-25,28.37,28.59,26.26,27.24,2457846.44
2024-07-26,27.23,28.93,27.17,28.72,2103180.06
2024-07-27,28.73,29.52,27.59,28.04,1595083.64
2024-07-28,28.04,28.17,27.1,27.4,955992.62
2024-07-29,27.39,28.86,26.96,27.01,2335986.83
2024-07-30,27.01,27.32,26.03,26.33,1375203.85
2024-07-31,26.32,26.87,25.44,25.7,1930480.93
2024-08-01,25.7,25.92,24.01,25.71,1979230.94
2024-08-02,25.71,25.91,23.35,23.6,2234805.73
2024-08-03,23.6,24.15,22.2,22.67,1850832.83
2024-08-04,22.68,22.96,20.58,21.25,2081859.37
2024-08-05,21.26,21.38,17.29,19.54,9670531.58
2024-08-06,19.54,21.46,19.51,20.89,2687249.82
2024-08-07,20.88,21.7,19.71,19.85,2185632.53
2024-08-08,19.86,22.8,19.52,22.73,2398279.56
2024-08-09,22.73,22.8,21.29,21.74,1708499.52
2024-08-10,21.75,22.05,21.4,21.59,829812.48
2024-08-11,21.59,22.37,20.39,20.4,1316532.04
2024-08-12,20.4,21.71,20.3,21.26,1828261.75
2024-08-13,21.27,21.62,20.6,21.37,1369820.3
2024-08-14,21.38,21.87,20.77,20.95,1239087.66
2024-08-15,20.95,21.15,19.83,20.14,1891885.5
2024-08-16,20.14,20.72,19.78,20.36,1292955.85
2024-08-17,20.36,20.71,20.23,20.7,594996.7
2024-08-18,20.7,21.51,20.55,20.82,1080288.16
2024-08-19,20.83,21.25,20.38,21.21,1079897.76
2024-08-20,21.22,22.79,21.16,22.26,2257515.64
2024-08-21,22.26,23.8,22.25,23.53,2113314.06
2024-08-22,23.53,25.35,23.05,25.22,2451735.12
2024-08-23,25.22,27.01,25.22,26.49,3388980.56
2024-08-24,26.5,28.0,26.19,27.11,2329717.63
2024-08-25,27.12,27.68,26.13,26.92,2020535.79
2024-08-26,26.93,27.2,25.89,25.94,1936106.29
2024-08-27,25.94,26.81,23.66,24.09,2200225.1
2024-08-28,24.08,24.84,23.19,23.45,2427017.83
2024-08-29,23.44,24.68,22.78,22.89,1881922.74
2024-08-30,22.9,23.64,22.18,23.29,1640828.47
2024-08-31,23.29,23.4,22.47,22.81,731034.89
2024-09-01,22.8,22.84,21.09,21.42,1701717.55
2024-09-02,21.42,22.57,21.37,22.37,1213729.2
2024-09-03,22.37,22.73,21.33,21.38,1165499.01
2024-09-04,21.38,22.32,20.48,21.9,1783124.44
2024-09-05,21.91,22.19,21.23,21.38,1130561.49
2024-09-06,21.38,22.19,20.48,21.17,2491055.66
2024-09-07,21.16,22.0,21.05,21.8,951544.49
2024-09-08,21.8,23.52,21.71,23.25,1913376.33
2024-09-09,23.25,24.44,23.14,23.84,2082195.37
2024-09-10,23.85,24.59,23.57,24.36,1441227.33
2024-09-11,24.36,24.52,22.87,23.28,1685272.65
2024-09-12,23.28,24.1,23.27,24.02,1532687.18
2024-09-13,24.02,25.1,23.66,24.91,1883781.59
2024-09-14,24.91,25.66,24.61,25.32,1199130.86
2024-09-15,25.33,25.38,23.64,23.8,1451892.29
2024-09-16,23.8,24.24,23.22,23.52,1751162.34
2024-09-17,23.52,24.49,23.16,23.77,1583225.8
2024-09-18,23.78,24.73,22.79,24.68,2073720.9
2024-09-19,24.7,26.79,24.69,26.66,2927349.19
2024-09-20,26.67,28.8,26.48,27.67,3375743.3
2024-09-21,27.67,27.77,26.99,27.58,491856.16
