timestamp,open,high,low,close,volume
2024-07-24,9.631,10.112,9.415,9.503,1535043.97
2024-07-25,9.5,9.93,9.318,9.92,2535262.0
2024-07-26,9.921,10.023,9.529,9.71,2223133.46
2024-07-27,9.7,10.119,9.407,9.687,2033352.42
2024-07-28,9.686,9.808,9.233,9.346,992204.12
2024-07-29,9.345,9.754,8.914,8.932,1975879.12
2024-07-30,8.932,9.19,8.721,8.825,1274455.19
2024-07-31,8.829,9.542,8.757,8.958,1574540.14
2024-08-01,8.959,9.016,8.365,8.887,2050977.15
2024-08-02,8.889,9.282,8.224,8.305,2114857.71
2024-08-03,8.304,8.409,7.574,7.76,2082691.61
2024-08-04,7.761,7.93,7.065,7.328,1828285.86
2024-08-05,7.326,7.42,6.266,7.063,5749602.22
2024-08-06,7.061,7.879,7.041,7.669,2966800.98
2024-08-07,7.662,7.774,6.926,7.021,2696954.55
2024-08-08,7.02,7.731,6.927,7.7,2614132.39
2024-08-09,7.699,7.699,7.259,7.442,1809208.33
2024-08-10,7.443,7.592,7.213,7.363,1039997.39
2024-08-11,7.361,7.492,6.79,6.826,1611769.47
2024-08-12,6.826,7.337,6.821,7.281,3090008.8
2024-08-13,7.284,7.42,6.91,7.364,1733172.58
2024-08-14,7.361,7.44,7.042,7.13,1587353.88
2024-08-15,7.13,7.302,6.832,6.945,1280940.1
2024-08-16,6.945,7.183,6.824,7.009,1347454.91
2024-08-17,7.01,7.283,6.974,7.279,1109765.08
2024-08-18,7.28,7.38,7.127,7.149,1090362.55
2024-08-19,7.148,7.256,6.95,7.222,1648829.45
2024-08-20,7.222,7.462,7.124,7.269,1209737.29
2024-08-21,7.266,7.816,7.203,7.691,1470374.48
2024-08-22,7.698,8.128,7.548,8.032,1437641.54
2024-08-23,8.033,8.736,8.023,8.681,2102507.19
2024-08-24,8.686,8.954,8.47,8.695,1418313.02
2024-08-25,8.695,8.731,8.253,8.513,1371723.32
2024-08-26,8.515,8.612,7.989,8.076,1390310.64
2024-08-27,8.078,8.301,7.612,7.722,1740680.83
2024-08-28,7.72,7.998,7.515,7.759,1660196.71
2024-08-29,7.76,8.205,7.696,7.791,1433235.64
2024-08-30,7.79,7.871,7.336,7.617,1323938.06
2024-08-31,7.618,7.722,7.435,7.563,697076.11
2024-09-01,7.56,7.583,7.087,7.191,931624.21
2024-09-02,7.184,7.552,7.115,7.521,1146682.28
2024-09-03,7.524,7.645,7.144,7.162,1056429.13
2024-09-04,7.158,7.76,6.9,7.557,1887192.65
2024-09-05,7.557,7.645,7.131,7.233,1899472.95
2024-09-06,7.232,7.324,6.8,7.028,2729456.32
2024-09-07,7.026,7.229,6.993,7.06,1044710.33
2024-09-08,7.06,7.508,7.053,7.413,1511493.14
2024-09-09,7.416,7.864,7.396,7.783,1725849.33
2024-09-10,7.783,9.106,7.676,8.93,3676251.64
2024-09-11,8.931,8.963,8.371,8.665,5140036.45
2024-09-12,8.666,8.742,8.359,8.508,2667367.22
2024-09-13,8.508,8.733,8.156,8.618,2472371.95
2024-09-14,8.615,8.9,8.525,8.647,1714843.24
2024-09-15,8.648,8.802,8.212,8.326,1681314.4
2024-09-16,8.326,8.326,7.887,8.026,2101760.74
2024-09-17,8.026,8.288,7.811,7.912,2304106.1
2024-09-18,7.91,8.2,7.597,8.19,2594373.92
2024-09-19,8.191,8.42,7.988,8.084,3094302.19
2024-09-20,8.086,8.711,7.92,8.486,2892047.25
2024-09-21,8.484,8.551,8.242,8.543,1006514.37
