timestamp,open,high,low,close,volume
2024-08-02,1.3755,1.3851,1.265,1.2776,262807.1243
2024-08-03,1.2776,1.2927,1.1734,1.2041,357568.5209
2024-08-04,1.2045,1.2178,1.0802,1.1019,357844.6707
2024-08-05,1.1019,1.1154,0.9059,1.0443,1608572.9905767
2024-08-06,1.0448,1.1725,1.0418,1.1423,397669.23663601
2024-08-07,1.1418,1.185,1.0675,1.0878,362103.4025
2024-08-08,1.0884,1.2394,1.0675,1.2318,362224.5994
2024-08-09,1.2317,1.2434,1.1729,1.1954,213615.4944
2024-08-10,1.1944,1.2154,1.1741,1.1904,93780.6682
2024-08-11,1.1907,1.2251,1.0886,1.0914,372976.35963364
2024-08-12,1.0917,1.1819,1.0911,1.1578,296112.7336
2024-08-13,1.1586,1.261,1.125,1.2599,496046.9243
2024-08-14,1.2598,1.2654,1.177,1.1829,293120.1259
2024-08-15,1.1826,1.2151,1.1153,1.1346,379801.0423
2024-08-16,1.1345,1.154,1.0919,1.1196,286360.72498285
2024-08-17,1.1204,1.134,1.1087,1.1247,126931.3646
2024-08-18,1.1242,1.166,1.1046,1.1087,194226.8123
2024-08-19,1.1096,1.1462,1.0779,1.143,176958.8471
2024-08-20,1.1442,1.1949,1.1134,1.1628,260036.2568
2024-08-21,1.1628,1.2119,1.1496,1.2112,232180.7509
2024-08-22,1.2115,1.3397,1.1958,1.2988,633767.93218222
2024-08-23,1.3008,1.4591,1.2952,1.4335,682321.45178568
2024-08-24,1.4346,1.5162,1.4249,1.481,333007.777
2024-08-25,1.4804,1.5445,1.4076,1.4954,389115.56513643
2024-08-26,1.4967,1.5089,1.4166,1.4235,192396.123
2024-08-27,1.4255,1.5208,1.3162,1.3485,539732.3311
2024-08-28,1.3445,1.4756,1.3325,1.4372,481784.06171122
2024-08-29,1.4418,1.5202,1.4125,1.458,556768.5311
2024-08-30,1.4554,1.4891,1.3261,1.4259,399576.21
2024-08-31,1.4266,1.5077,1.3357,1.3656,313644.1527
2024-09-01,1.363,1.3698,1.2562,1.2885,285632.09388
2024-09-02,1.2866,1.2969,1.2362,1.267,293168.7903
2024-09-03,1.2666,1.2865,1.1701,1.1721,241467.6271
2024-09-04,1.173,1.2997,1.1218,1.2302,479226.3563
2024-09-05,1.2294,1.2356,1.161,1.1625,192611.2511
2024-09-06,1.1619,1.2139,1.1059,1.1505,273838.114
2024-09-07,1.1503,1.2101,1.147,1.1787,122726.5622
2024-09-08,1.1806,1.2284,1.1759,1.1998,219813.1669
2024-09-09,1.205,1.2852,1.193,1.2597,380225.1076
2024-09-10,1.2604,1.3296,1.232,1.3017,320894.59408584
2024-09-11,1.3029,1.3055,1.2062,1.2542,350494.9311
2024-09-12,1.2571,1.2765,1.2324,1.2553,212363.6019
2024-09-13,1.2546,1.3339,1.221,1.3198,263372.9038
2024-09-14,1.3204,1.3265,1.2786,1.3211,158861.3459
2024-09-15,1.3215,1.3478,1.2753,1.2805,219724.9105
2024-09-16,1.2802,1.2802,1.2126,1.2253,256013.5855
2024-09-17,1.2242,1.4597,1.2138,1.394,947229.1735
2024-09-18,1.3944,1.3953,1.305,1.3924,389031.18864537
2024-09-19,1.3928,1.5389,1.3598,1.5023,643653.1131
2024-09-20,1.5045,1.6369,1.4804,1.5724,469512.3412
2024-09-21,1.5676,1.6603,1.514,1.6514,299474.569
2024-09-22,1.6547,1.7118,1.588,1.6834,328450.4217
2024-09-23,1.6856,1.8679,1.6442,1.8037,763635.5719
2024-09-24,1.8071,1.8131,1.728,1.7832,397852.4904
2024-09-25,1.788,1.8048,1.7202,1.7246,422144.3372
2024-09-26,1.7247,1.8486,1.695,1.7756,411546.7377
2024-09-27,1.7748,1.8657,1.7627,1.8179,387340.3715
2024-09-28,1.8182,1.8303,1.7233,1.776,325639.6241
2024-09-29,1.7763,1.8535,1.7334,1.8004,337577.3033
2024-09-30,1.8009,1.814,1.6802,1.73,324927.08
