timestamp,open,high,low,close,volume
2024-07-24,24.07,25.85,23.71,23.91,889904.86
2024-07-25,23.91,24.65,22.85,23.83,1223358.18
2024-07-26,23.83,26.18,23.77,25.77,1001324.02
2024-07-27,25.77,26.12,24.16,25.31,1079036.9
2024-07-28,25.31,25.45,23.97,24.22,473844.57
2024-07-29,24.22,26.09,24.14,24.16,919968.07
2024-07-30,24.16,24.82,22.86,23.18,690741.57
2024-07-31,23.18,23.62,21.92,21.96,766684.9
2024-08-01,21.97,22.35,20.11,21.67,1345738.36
2024-08-02,21.66,21.8,19.45,19.76,1315000.04
2024-08-03,19.76,20.05,17.87,18.5,1011703.89
2024-08-04,18.5,18.73,16.74,17.65,1437366.48
2024-08-05,17.65,17.94,13.51,15.32,4567013.33
2024-08-06,15.33,16.98,15.31,16.05,1573453.46
2024-08-07,16.05,16.67,14.62,14.93,1444040.41
2024-08-08,14.93,18.5,14.64,18.37,1489727.39
2024-08-09,18.36,18.46,17.08,18.16,1322066.81
2024-08-10,18.16,19.41,17.55,19.25,1159076.98
2024-08-11,19.24,19.41,17.61,17.66,877673.13
2024-08-12,17.66,19.3,17.59,18.52,1130567.09
2024-08-13,18.53,19.58,18.04,19.45,1038658.09
2024-08-14,19.45,19.93,18.58,18.67,829641.65
2024-08-15,18.68,19.26,17.77,18.13,1124216.41
2024-08-16,18.13,19.25,17.28,17.88,1206816.05
2024-08-17,17.88,18.65,17.77,18.62,369889.14
2024-08-18,18.62,18.79,17.83,17.85,478480.52
2024-08-19,17.85,18.2,17.51,18.16,577739.26
2024-08-20,18.16,19.15,17.98,18.42,850040.42
2024-08-21,18.42,19.86,18.21,19.67,754409.74
2024-08-22,19.67,20.66,19.39,20.06,842668.47
2024-08-23,20.06,22.37,20.04,22.17,1129426.99
2024-08-24,22.16,22.98,21.67,22.19,797806.72
2024-08-25,22.2,22.89,20.95,22.37,890221.85
2024-08-26,22.38,22.76,20.57,20.65,826492.87
2024-08-27,20.64,21.3,18.77,19.0,1446275.08
2024-08-28,19.0,19.31,17.57,17.95,1608114.55
2024-08-29,17.95,18.67,17.21,17.46,787418.14
2024-08-30,17.45,18.06,16.6,17.4,845263.13
2024-08-31,17.4,17.63,17.01,17.26,264229.61
2024-09-01,17.26,17.34,16.24,16.43,598047.97
2024-09-02,16.42,17.48,16.34,17.18,765600.96
2024-09-03,17.17,17.53,15.8,15.87,992838.1
2024-09-04,15.87,17.64,15.01,17.32,1643947.17
2024-09-05,17.31,17.47,16.73,17.01,756538.22
2024-09-06,17.01,17.37,15.58,16.19,1306775.06
2024-09-07,16.19,16.65,15.82,16.02,508190.31
2024-09-08,16.02,16.63,15.91,16.25,520570.9
2024-09-09,16.25,17.63,16.03,17.29,1045137.07
2024-09-10,17.3,18.48,16.96,18.18,978562.02
2024-09-11,18.18,19.03,17.61,18.74,1465612.98
2024-09-12,18.73,19.48,18.7,19.35,957385.02
2024-09-13,19.35,20.11,18.44,19.82,1346078.52
2024-09-14,19.81,20.13,19.2,19.61,626426.24
2024-09-15,19.62,20.2,18.49,18.66,1120603.93
2024-09-16,18.66,18.95,17.78,18.0,924496.36
2024-09-17,18.01,20.16,17.72,19.5,1158900.77
2024-09-18,19.5,19.84,18.17,19.81,1023982.72
2024-09-19,19.83,21.06,19.76,20.44,1423282.57
2024-09-20,20.45,21.44,20.09,21.07,1074279.22
2024-09-21,21.06,21.36,20.48,21.34,284713.01
