author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Steven Levy,Trump's Crypto Embrace Could Be a Disaster for Bitcoin,"At the Bitcoin 2024 conference in Nashville, Donald Trump promised the crypto community the moon. They'd better hope they don't get it.",https://www.wired.com/story/donald-trump-bitcoin-reserve-promises/,"https://media.wired.com/photos/66ab594d0c0cc4819f595db4/191:100/w_1280,c_limit/073024_Crypto%20get%20rich%20quick.jpg",2024-08-02T13:00:00Z,"Donald Trump is an unlikely crypto ally. The power of bitcoin, embodied in Satoshi Nakamotos founding document, is that it frees participants from murky assessments of trust, instead relying on the b… [+4248 chars]",wired,Wired
Lucas Ropek,"Kamala Harris Wants to Get Closer to Crypto Bros, If They’ll Let Her",Cryptocurrency has become the latest flashpoint in the presidential candidates' war for the soul of Silicon Valley.,https://gizmodo.com/kamala-harris-wants-to-get-closer-to-crypto-bros-if-theyll-let-her-2000480701,https://gizmodo.com/app/uploads/2019/05/oqakhahoqrr6i0b6qu50.jpg,2024-07-30T13:30:20Z,"Over the past week, Kamala Harris has made it known that she plans on hitting the “reset” button when it comes to the cryptocurrency industry. Currently, there’s bad blood between crypto stans and th… [+6026 chars]",,Gizmodo.com
Lucas Ropek,This Could Be the Beginning of the End of Trump’s Love for Crypto Cash,The Donald chose the wrong time to get into web3.,https://gizmodo.com/this-could-be-the-beginning-of-the-end-of-trumps-love-for-crypto-cash-2000483266,https://gizmodo.com/app/uploads/2024/08/Trump_makes_a_-weird_face_at_a_campaign_rally-.jpg,2024-08-05T21:35:52Z,"Donald Trump’s honeymoon with the cryptocurrency industry may be over. At the very least, the campaign contributions in Dogecoin he received last month are probably a lot less valuable right now than… [+3766 chars]",,Gizmodo.com
Lucas Ropek,Akon’s Multi-Billion Dollar Crypto City in Africa Gets a Reality Check,"Will the singer's $6 billion metropolis, a ""real-life Wakanda,"" actually get built? It's looking increasingly unlikely.",https://gizmodo.com/akons-multi-billion-dollar-crypto-city-in-africa-gets-a-reality-check-2000482614,https://gizmodo.com/app/uploads/2024/08/akon_crypto_city.jpg,2024-08-02T19:20:00Z,"Rich people have become obsessed with building new cities latelyan affliction that extends even to hip-hop and R&amp;B singer Akon. Back in 2020, Akon announced that he would build a futuristic new c… [+2399 chars]",,Gizmodo.com
jsor@businessinsider.com (Jennifer Sor),Stock market today: Dow jumps 285 points as traders try to extend comeback from big sell-off,"The Bank of Japan suggested on Wednesday it would pause rate hikes in the near-term, bolstering investor sentiment.",https://markets.businessinsider.com/news/stocks/stock-market-today-rally-interest-rates-fed-boj-carry-trade-2024-8,https://i.insider.com/66b378f5a5247369a3ea253d?width=1200&format=jpeg,2024-08-07T13:45:50Z,"US stocks jumped on Wednesday after the Bank of Japan issued guidance on interest rates and traders attempted to extend the rebound in stocks. All three benchmark indexes ticked higher, with the Dow … [+1689 chars]",business-insider,Business Insider
Brittney Melton,Updated timeline for attempted Trump assassination; crypto’s impact on the election,"The FBI has released a more detailed timeline of the attempted assassination of Former President Donald Trump. And, how crypto is impacting the primary election in Arizona.",https://www.npr.org/2024/07/30/g-s1-14312/up-first-newsletter-fbi-trump-attempted-assassination-investigation-crypto-arizona-election,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2189x1231+0+114/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F98%2F07%2Fff67280141c1be94ca10f36fade5%2Fgettyimages-2161925705.jpg,2024-07-30T11:52:29Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+5856 chars]",,NPR
msmash,Russia To Allow Crypto Payments in International Trade To Counter Sanctions,"Russian lawmakers passed a bill on Tuesday that will allow businesses to use crypto currencies in international trade, as part of efforts to skirt Western sanctions imposed after Russia's invasion of Ukraine. From a report: The law is expected to go into forc…",https://news.slashdot.org/story/24/07/30/187226/russia-to-allow-crypto-payments-in-international-trade-to-counter-sanctions,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-07-30T18:07:00Z,"The exchange that is in Russia, do you mean? They're gonna send the FBI to Russia?But yeah, blockchain transactions are hardly anonymous these days, but if it's just because the banks are being overl… [+201 chars]",,Slashdot.org
Haven Orecchio-Egresitz,"As Ryan Salame stares down years in prison for his role in FTX, he's spending his time doing what he loves: posting","As the FTX insider recovers from a dog attack that delayed his prison sentence, he's posting on X about Sam Bankman-Fried's trial and Donald Trump.",https://www.businessinsider.com/ryan-salame-posting-ftx-crypto-trump-sbf-awaiting-prison-2024-8,https://i.insider.com/66aba1ca1a227600e633758c?width=1200&format=jpeg,2024-08-02T11:20:02Z,"Ryan Salame is returned to X ahead of his prison sentence.REUTERS/Brendan McDermid
<ul><li>Ryan Salame was sentenced to 7½ years in prison for his role in the collapse of FTX.</li><li>Awaiting priso… [+11057 chars]",business-insider,Business Insider
Dominick Reuter,Amazon is suing a group on Telegram it says orchestrated $1.2 million in fraudulent refunds while taking a cut,"Amazon's lawsuit against the group named ""Chin Chopa"" also names seven US defendants who the company says used and promoted the illegal service.",https://www.businessinsider.com/amazon-suing-refund-fraud-group-it-says-stole-10000-items-2024-7,https://i.insider.com/66a80bdd1a227600e6329f84?width=1200&format=jpeg,2024-07-30T11:03:02Z,"Amazon has sued ""unknown persons"" operating the telegram channel ""Chin Chopa"" to seek refunds from the company.UNITED STATES DISTRICT COURT WESTERN DISTRICT OF WASHINGTON AT SEATTLE
<ul><li>Amazon s… [+3289 chars]",business-insider,Business Insider
Ed Zitron,"Sweaty, desperate, and sad: Big Tech is giving off divorced dad energy","Big Tech companies like Google, Microsoft, Apple, and Amazon are clinging to a bygone era, failing to innovate, and letting down their customers.",https://www.businessinsider.com/tech-industry-divorced-dad-energy-google-microsoft-amazon-innovation-2024-8,https://i.insider.com/66aa46ad1a227600e6330c67?width=1200&format=jpeg,2024-08-06T09:26:02Z,"Getty Images; Jenny Chang-Rodriguez/BI
Silicon Valley is filthy with divorced-dad energy.Not necessarily the people, though I'm sure there's plenty of that, but the most powerful companies in the Va… [+13905 chars]",business-insider,Business Insider
